date,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,SPEI_1,SPEI_3,SPEI_6,SPEI_12,SPEI_24
0,48.0,12.0,27.67,1.5,3.4,-6.5,-0.5,5.5,2.4,2.31,3,-1.76,-0.52,-0.71,-1.09
1,51.8,13.9,22.32,2.0,2.9,-3.5,3.5,10.5,3.7,2.77,0,-0.85,-0.81,-0.91,-1.15
2,74.3,11.3,10.53,2.3,24.4,2.8,8.4,14.1,6.6,7.33,1,-0.82,-1.05,-0.93,-1.12
3,57.7,14.2,0.38,4.0,33.3,8.7,15.8,22.9,9.4,7.91,0,-0.47,-1.11,-0.89,-1.3
4,58.6,14.6,0.0,4.7,43.8,13.3,20.6,27.9,13.1,7.69,0,0.49,0.14,-0.15,-1.43
5,75.0,10.1,0.0,4.5,104.2,20.6,25.6,30.7,19.9,10.74,1,0.21,-0.24,-0.56,-0.96
6,69.7,9.9,0.0,4.1,120.7,22.5,27.4,32.4,28.1,12.05,0,0.05,-0.22,-0.52,-0.95
7,57.7,9.5,0.0,3.7,101.4,20.3,25.0,29.8,25.5,10.68,0,-0.46,-0.12,-0.43,-0.68
8,57.1,10.2,0.0,2.9,98.6,14.8,19.9,25.0,17.5,12.43,0,1.07,0.86,0.35,-0.04
9,75.9,7.7,0.0,1.7,108.7,10.2,14.0,17.9,12.4,13.08,0,1.86,1.23,0.62,0.05
10,62.7,8.1,6.71,1.3,50.1,4.3,8.3,12.4,8.3,9.71,0,2.15,0.8,0.67,-0.04
11,43.2,10.7,25.57,1.2,2.3,-4.3,1.1,6.5,4.0,2.41,1,0.92,1.22,0.69,-0.08
12,29.2,12.0,28.32,1.3,1.4,-7.3,-1.3,4.7,2.7,1.48,0,-0.38,1.77,0.85,0.07
13,49.3,12.9,22.52,1.7,13.5,-3.7,2.8,9.3,4.3,5.76,3,-1.55,1.56,0.53,-0.29
14,44.6,15.0,18.19,2.9,0.3,-0.1,7.4,14.9,4.7,0.51,1,-1.33,-0.51,0.54,-0.27
15,58.2,14.2,3.44,3.7,26.9,6.0,13.1,20.2,7.8,7.17,3,-1.87,-1.85,0.31,-0.4
16,58.3,15.7,0.0,4.9,16.6,12.5,20.3,28.2,11.4,4.8,0,-1.04,-1.48,-0.22,-0.24
17,58.4,12.7,0.0,5.2,69.9,18.4,24.7,31.1,16.9,8.91,0,-0.71,-1.23,0.08,-0.3
18,72.0,10.0,0.0,3.9,143.9,21.7,26.7,31.7,26.7,12.91,0,0.62,-0.46,0.72,0.16
19,65.2,9.2,0.0,3.4,168.6,19.8,24.4,29.0,25.2,13.57,0,0.8,0.07,0.73,0.19
20,59.5,10.9,0.0,2.8,95.3,14.5,19.9,25.4,17.9,12.43,0,1.23,0.47,0.2,0.33
21,61.3,10.1,0.39,1.9,53.5,8.7,13.7,18.8,11.6,9.95,0,1.64,1.42,0.49,0.72
22,65.4,7.7,12.19,1.2,84.9,2.0,5.8,9.7,6.7,12.35,0,1.84,1.47,0.47,0.74
23,39.2,11.5,24.49,1.3,3.4,-3.3,2.5,8.3,4.4,2.93,4,1.58,1.58,0.35,0.67
24,15.4,13.0,28.77,1.7,0.0,-7.9,-1.4,5.1,1.6,0.0,3,-2.07,1.06,0.17,0.66
25,39.7,14.4,24.27,2.0,0.8,-5.6,1.6,8.8,3.0,1.03,0,-1.24,1.25,0.55,0.68
26,48.1,12.9,13.65,2.6,34.8,1.6,8.0,14.5,6.0,8.66,0,0.75,1.4,1.0,1.0
27,82.0,8.8,0.89,2.6,49.8,8.0,12.4,16.8,9.6,9.7,0,2.63,1.9,2.04,1.59
28,75.4,9.7,0.0,3.2,135.1,13.6,18.4,23.3,15.7,13.08,0,2.2,1.7,2.18,1.43
29,60.6,12.7,0.0,5.1,71.0,18.8,25.1,31.5,18.0,8.82,0,1.43,1.5,2.05,1.43
30,67.8,9.9,0.0,4.1,130.3,21.3,26.2,31.2,25.4,12.25,0,0.76,1.93,2.18,1.86
31,76.3,7.6,0.0,3.0,185.1,21.2,25.0,28.8,26.8,14.11,0,1.09,2.08,2.23,1.97
32,76.1,7.9,0.0,2.4,101.7,16.0,19.9,23.9,18.3,12.94,3,0.98,1.52,1.84,1.43
33,41.7,13.8,2.04,2.5,2.1,7.0,13.9,20.8,9.8,2.17,0,-0.17,0.47,1.35,1.23
34,49.6,11.7,11.94,1.5,16.1,2.1,7.9,13.8,7.2,5.73,0,-1.17,0.5,1.43,1.27
35,38.4,11.9,25.88,1.3,13.3,-4.6,1.4,7.4,3.9,5.37,0,0.78,1.1,1.69,1.39
36,58.1,7.7,25.88,1.0,20.0,-4.6,-0.7,3.2,3.7,6.23,0,1.82,0.53,1.92,1.48
37,76.1,7.2,26.28,1.2,18.1,-7.0,-3.4,0.2,2.6,6.58,0,1.75,0.04,1.91,1.66
38,64.3,10.1,11.81,2.1,17.6,2.3,7.3,12.4,6.9,6.35,0,3.01,2.74,2.55,2.26
39,88.4,8.0,0.04,2.2,140.2,9.6,13.6,17.6,12.1,15.22,0,3.14,3.06,2.2,2.57
40,67.0,10.3,0.0,3.7,108.3,14.0,19.1,24.3,15.2,11.75,2,2.28,2.34,2.08,2.54
41,59.0,13.8,0.0,5.2,23.8,17.6,24.5,31.4,17.1,5.54,0,1.69,2.69,2.61,2.64
42,76.8,8.7,0.0,3.7,237.3,22.0,26.3,30.7,26.6,16.39,0,0.64,2.19,2.23,2.57
43,64.6,8.9,0.0,3.5,120.0,20.6,25.0,29.5,26.2,11.67,0,1.7,2.48,2.32,2.78
44,82.3,6.5,0.0,2.2,123.4,16.1,19.3,22.6,18.7,14.09,0,1.84,2.18,2.85,2.98
45,84.3,6.0,0.0,1.5,109.7,11.1,14.1,17.1,13.2,13.77,0,1.92,1.65,2.9,2.84
46,49.0,10.5,10.93,1.5,10.0,2.5,7.7,13.0,7.1,4.65,0,1.67,2.03,2.9,2.84
47,48.2,10.0,24.6,1.2,4.6,-3.4,1.6,6.6,4.1,3.53,0,-0.6,1.57,2.81,2.94
48,43.0,9.9,25.68,1.3,3.7,-4.4,0.6,5.6,3.6,2.62,0,-0.11,1.89,2.7,3.0
49,59.8,10.5,21.6,1.6,11.3,-2.8,2.5,7.8,4.3,5.21,1,-0.63,1.33,2.59,2.88
